id,title,category,author,summary,content,image,caption,date,link,featured
1,長崎大学新聞社サイト公開,ニュース,長崎大学新聞社,長崎大学新聞社のWebサイトを公開しました,サイト公開のお知らせ本文です,images/article1.jpg,長崎大学新聞社のロゴ,2025-08-01,article1.html,true
2,ガザのデモ理由知って,ニュース,佐藤考太,「Nagasaki for Palestine」今岡明日美さんを取材しました。,イスラエルとイスラム抵抗運動(ハマス)の停戦発効から約３か月。パレスチナ自治区ガザには未だイスラエルへの恐怖が渦巻いている。その現状に対し抗議の声を上げる学生がいる。環境科学部4年、今岡明日美さんは2023年12月にNagasaki for Palestine という団体を立ち上げ、平和公園でのスタンディングデモや上映会、講演会等を通じて抗議活動を続けている。何が今岡さんを突き動かすのか、長崎大学新聞は今岡さんを取材した。\n\n――活動を始めようと考えたきっかけは？\n\n「大学進学後に長崎の被爆遺構を見て、勉強しなきゃいけないなと思ったんです。その矢先にハマスのイスラエル攻撃の報道があり、「復讐」と称する無差別な攻撃が始まりました。パレスチナがずっと占領されていたことをその時はじめて知りました。そこで思い立って団体を立ち上げ、デモ活動をスタートしました」\n\n――活動を通して感じたことは？\n\n「人々がいかに無関心であるかを痛感しました。抗議活動ってデモだけじゃないんです。不買など、些細なことから抗議の意思は表現できます。でも人々は見て見ぬふりをする。それはすごくショックでした」「でも成果もあったんです。活動の中で志を同じくする多くの人々に出会いました。モヤモヤを抱えていたのは自分だけではないと知ってとても嬉しかった」\n\n――2023年12月から活動を精力的に続けていますが、何が今岡さんを突き動かすのでしょうか\n\n「私の母方が在日コリアンで、活動を通して自分のルーツに目が向くようになりました。パレスチナの現状が韓国の被害の歴史と重なって見えたんです。今も昔も変わらず残酷な現実があって多くの人が傍観している。それが耐えられない。当事者が声をあげないと世の中が変わらないなんておかしい。そう思って活動しています」\n\n――長大生に何か伝えたいことは？\n\n「自分の生活を大切にしてほしいです。余裕があれば少しだけでも行動してみて、と伝えたい。普段身に着けているものや食べているもの、利用しているものなどの裏側の事実を考えてほしい。安価な服には搾取構造が、プラスチック製品には環境負荷があるかもしれない。そういったことを考えた上で社会へ関心を持ってほしいなと思います」\n\n――今後の展望を教えてください\n\n「停戦が成立していても問題解決からは程遠い。活動をやめる気はありません。パレスチナ問題は「戦争」ではなく「虐殺」で、求めるものは「平和」の前に虐殺からの「解放」です。平和は解放の先に成り立つものですから。私たちはこの現状が変わるまで監視をしていきたい。そうすることが傍観してきたことへの贖罪になるのではないでしょうか」,images/article2.jpg,平和公園前でデモ活動を行う今岡さん＝１月９日夕方,2025-07-30,article2.html,true
3,入試対策講座,受験,長崎大学新聞社,受験生向け講座を紹介します,記事本文です,images/article3.jpg,,2025-07-28,article3.html,false
4,学生インタビュー,インタビュー,長崎大学新聞社,学生へのインタビュー記事です,記事本文です,images/article4.jpg,,2025-07-25,article4.html,false
5,Nagasaki University News,English,長崎大学新聞社,English記事です,English content,images/article5.jpg,,2025-07-20,article5.html,false
6,オープンキャンパス開催,ニュース,長崎大学新聞社,高校生向けイベントを開催しました,記事本文です,images/article6.jpg,,2025-07-18,article6.html,false
7,研究発表会開催,ニュース,長崎大学新聞社,研究成果を発表しました,記事本文です,images/article7.jpg,,2025-07-15,article7.html,false
8,学生交流イベント,ニュース,長崎大学新聞社,学生交流会を開催しました,記事本文です,images/article8.jpg,,2025-07-12,article8.html,false
9,図書館リニューアル,ニュース,長崎大学新聞社,図書館が新しくなりました,記事本文です,images/article9.jpg,,2025-07-10,article9.html,false
10,サークル紹介,ニュース,長崎大学新聞社,サークル活動を紹介します,記事本文です,images/article10.jpg,,2025-07-08,article10.html,false
11,test留学説明会開催,ニュース,長崎大学新聞社,留学説明会を開催しました,記事本文です,images/article11.jpg,,2025-07-05,article11.html,false
